,Part1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index #,Unique Identifier,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Notes
OC-001,1078,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Adjust radar scope presentation to align with navigation charts,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Adjust radar scope presentation to align with navigation charts,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-002,1079,QM,E1,A,Navigation Administrator,Electronic System Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Adjust ship's lighting for night operations,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Configure navigation task/running lights,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-003,1080,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Calculate basic maneuvering board solutions (e.g., winds, closest point of approach [CPA], etc.)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate maneuvering board solutions for wind problems,Knowledge/Performance Test,Does not include all; Just Wind Problems,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-004,1081,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Calculate celestial event times (e.g., sunrise/sunset, moonrise/moonset, twilight, etc.)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate times for moonrise/moonset & sunrise/sunset,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-005,1082,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Calculate compensating and correcting courses and speeds,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate compensating course/speed; calculate correcting course/speed,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-006,1083,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Calculate danger bearings and ranges,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate danger bearings and ranges,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-007,1084,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Calculate relative bearings,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate relative bearings,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-008,1085,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Calculate set and drift,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate set and drift,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-009,1086,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Compare fathometer readings to charted depth,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Measure fathometer readings against charts,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-010,1087,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Compute advance and transfer,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute advance and transfer for turns,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-011,1088,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Compute anchor chain scopes,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute anchor chain scopes,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-012,1089,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Compute course and speed made good,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute course and speed made good,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-013,1090,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Compute estimated time of arrival (eta),Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute estimated time of arrival (eta),Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-014,1091,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Compute expected times of radar landfall,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Block Zero Addition,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 1,5,220:01:00,440,Revision to A School
OC-015,1092,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Compute gyro error,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute gyro compass errors by using visual aids to navigation,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-016,1093,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Compute tides and currents,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute tides and currents,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-017,1094,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Compute zone time (ZT) using zone description (ZD),Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute zonetime (ZT) using zone description,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-018,1095,QM,E1,A,Navigation Administrator,Electronic System Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Configure navigation and task lights,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Configure navigation task/running lights,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-019,1096,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Convert arc to time and time to arc,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Convert arc to time/time to arc,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-020,1097,QM,E1,A,Navigation Administrator,Technical Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Correct navigational charts (paper, electronic)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Correct navigational charts,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-021,1098,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Correlate lookout information with radar presentations,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Correlate lookout information with radar presentations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-022,1099,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Determine latitude and longitude from plotted positions on navigational charts,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine latitude and longitude from plotted positions on navigational charts,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-023,1100,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Determine magnetic compass errors using gyrocompass,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine magnetic compass errors using gyro compass,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-024,1101,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Determine required speed of advance (SOA),Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine required speed of advance (SOA),Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-025,1102,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Determine ship's position (e.g., electronic, visual, radar, etc.)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Determine ship’s position using fathometer, running fixes, sextant angles, GPS and radar",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-026,1103,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Determine ship's position relative to plan of intended movement (PIM),Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine ship's position relative to plan of intended movement (PIM),Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-027,1104,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Determine type of ocean bottom,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine type of ocean bottom,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-028,1105,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Determine variation on charts,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine variation on charts,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-029,1106,QM,E1,A,Navigation Administrator,Technical Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Execute sunrise, morning and evening colors",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Execute sunrise, morning and evening colors",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-030,1107,QM,E1,A,Navigation Administrator,Technical Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Extract information from naval and navigation publications, technical briefs, notices, and bulletins",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Graph currents using the ""straight line method ""showing a slack water reference line, with flood values and ebb values displayed above and below the slack water reference line, respectively",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-031,1108,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Graph tides and currents,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Graph tides and currents,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-032,1109,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Identify lights and beacons using stopwatch,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Interpret lights/beacons using stopwatch,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-033,1110,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Incorporate lookout information with navigation plot,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Incorporate lookout information with navigation plot,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-034,1111,QM,E1,A,Navigation Administrator,Equipment Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Inventory controlled equipment,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Block Zero Addition,Equipment Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,N/A,Year 1,5,220:01:00,220,Revision to A School
OC-035,1112,QM,E1,A,Navigation Administrator,Technical Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Maintain administrative records (i.e., deck logs, position logs, bearing books, etc.)",Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Maintain administrative records (i.e., deck logs, position logs, bearing books, etc.)",Knowledge/Performance Test,Time Gap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-036,1113,QM,E1,A,Navigation Administrator,Technical Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Maintain chart and publication allowances,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Block Zero Addition,Technical Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,N/A,Year 1,5,220:01:00,220,Revision to A School
OC-037,1114,QM,E1,A,Navigation Administrator,Electronic System Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Maintain electronic navigation systems,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-038,1115,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Maintain halyards, halyard blocks, and tie downs",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Maintain halyards/halyard blocks/retrievers/tiedowns,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-039,1116,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Make movement reports (MOVREP),Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Make movement reports (MOVREP),Knowledge/Performance Test,Time Gap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-040,1117,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Make position reports,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Make positional reports,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-041,1118,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Make weather reports,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Make weather reports,Knowledge/Performance Test,Time Gap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-042,1119,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Measure distances on navigational charts,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Measure distances on navigational charts,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-043,1120,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Navigate ship during reduced visibility,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Navigate ship during reduced visibility,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-044,1121,QM,E1,A,Navigation Administrator,Electronic System Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Navigate ship using electronic navigation systems,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-045,1122,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Obtain visual bearings using alidades,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Obtain visual bearings using alidades,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-046,1123,QM,E1,A,Navigation Administrator,Communications,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Perform external communications (ship-to-ship, ship-to-shore)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform external communications,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-047,1124,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Perform man overboard procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform man overboard procedures,Knowledge/Performance Test,Time Gap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-048,1125,QM,E1,A,Navigation Administrator,Equipment Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Perform preventive maintenance on navigation equipment,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Block Zero Addition,Equipment Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,N/A,Year 1,5,220:01:00,440,Revision to A School
OC-049,1126,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plan anchorage areas,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plan anchorage areas,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-050,1127,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot advance and transfer,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot advance and transfer for turns,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-051,1128,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot danger bearings and ranges,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot danger bearings and ranges,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
