,Part1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC-052,1129,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot dead reckoning (DR) tracks,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot dead reckoning (DR) track,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-053,1130,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Plot distress signals, bearings, and ranges",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot danger bearings and ranges,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-054,1131,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot great circle sailing routes,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot departure and approach points for great circle sailing,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-055,1132,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot man overboard positions,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot man overboard positions,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-056,1133,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot mine warfare information,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot mine warfare information,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-057,1134,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot navigation hazards,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot navigation hazards,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-058,1135,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot navigation points,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot navigation points,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-059,1136,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot pickup and drop-off points,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot pickup and drop-off points,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-060,1137,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot plan of intended movement (PIM) tracks,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot plan of intended movement (PIM) tracks,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-061,1138,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot relative bearings,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot relative bearings,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-062,1139,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot ship's position during navigation detail,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot ship's position during navigation detail,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-063,1140,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot ship's position using visual bearings,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Obtain visual bearings using alidades,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-064,1141,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot surface contact information,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Incorporate lookout information with navigation plot,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-065,1142,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot swept channels,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot swept channel,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-066,1143,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Plot weather message information,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot weather message information,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-067,1144,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Prepare bridge for special evolutions,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Prepare bridge for special evolutions,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-068,1145,QM,E1,A,Navigation Administrator,Electronic System Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Prepare electronic navigation systems,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-069,1146,QM,E1,A,Navigation Administrator,Technical Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Prepare navigation briefs,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Prepare navigation briefs,Knowledge/Performance Test,Time Gap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-070,1147,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Prepare restricted water tracks,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Prepare restricted water tracks,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-071,1148,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Prepare weather observation reports,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Prepare weather observation reports,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-072,1149,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Report aids to navigation,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report aids to navigation,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-073,1150,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Report audible and visual information (e.g., sound signals, lights, flags, etc.)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Report audible and visual information (e.g., sound signals, lights, flags, etc.)",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-074,1151,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Report contacts (air, surface)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report contacts,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-075,1152,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Report flags (country flags, signal flags)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report foreign flags,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-076,1153,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Report navigation rules and regulations signals (e.g., task lights, day shapes, sound signals, etc.)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine rules of the road (ROR) signals,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-077,1154,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Shift navigation control to secondary location,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Block Zero Addition,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 1,5,220:01:00,440,Revision to A School
OC-078,1155,QM,E1,A,Navigation Administrator,Electronic System Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Shutdown electronic navigation systems,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-079,1156,QM,E1,A,Navigation Administrator,Communications,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Signal watercraft or boats (visually, audibly)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Signal watercraft or boats,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-080,1157,QM,E1,A,Navigation Administrator,Electronic System Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Startup electronic navigation systems,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-081,1158,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Steer ship using aft steering,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Block Zero Addition,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 1,5,220:01:00,440,Revision to A School
OC-082,1159,QM,E1,A,Navigation Administrator,Communications,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Test internal and external communications systems (visual, audible, electronic)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Test communication systems,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-083,1160,QM,E1,A,Navigation Administrator,Electronic System Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Verify helm and lee helm operations,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Monitor helm/lee helm operations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-084,1161,QM,E1,A,Navigation Administrator,Electronic System Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Verify ship's position data between sources (radar, paper, Voyage Management System [VMS])",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Determine latitude and longitude from plotted positions on navigational charts; determine ship’s position using fathometer, running fixes, sextant angles, GPS, radar",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-085,1162,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Verify ship's position data in the combat information center (CIC),Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Block Zero Addition,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 1,5,220:01:00,440,Revision to A School
OC-086,1163,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Verify water depth is safe for navigation,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Verify water depth is safe for navigation,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-087,1164,QM,E5,J,Navigation Specialist,Technical Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Analyze environmental hazards utilizing protective measures assessment protocol (PMAP) program,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform navigation administrative responsibilities,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-088,1165,QM,E5,J,Navigation Specialist,Technical Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Archive electronic navigation data,Rating Specific Task,No,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Archive electronic navigation data,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-089,1166,QM,E5,J,Navigation Specialist,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Compute visibility of lights and expected times of sighting,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Compute visibility of light,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-090,1167,QM,E5,J,Navigation Specialist,Technical Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Coordinate shipboard honors and ceremonies,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform honors procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-091,1168,QM,E5,J,Navigation Specialist,Technical Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Manage administrative programs,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform navigation administrative responsibilities,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-092,1169,QM,E5,J,Navigation Specialist,Communications,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Perform communications using tactical signals,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Perform tactical signal encoding/decoding procedures, ",Knowledge/Performance Test,Time Gap,Course Revision,Communications,Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
OC-093,1170,QM,E5,J,Navigation Specialist,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Recommend great circle sailing routes,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot departure and approach points for great circle sailing,Knowledge/Performance Test,Time Gap,Course Revision,Plotting,Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
OC-094,1171,QM,E5,J,Navigation Specialist,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Review navigational charts,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform nautical chart procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-095,1172,QM,E6,J,Navigation Specialist,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Calculate advanced maneuvering board solutions (e.g., station changes, avoidance courses, etc.)",Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Navigation - Maritime,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
OC-096,1173,QM,E6,J,Navigation Specialist,Equipment Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Manage controlled equipment inventories,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Technical Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
OC-097,1174,QM,E6,J,Navigation Specialist,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Supervise bridge team during special evolutions (e.g., underway replenishments (UNREP), sea and anchor details, navigation details, etc.)",Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Technical Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
OC-098,1175,QM,E6,J,Navigation Specialist,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Supervise shift of navigation control from bridge to secondary location,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Navigation - Maritime,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
OC-099,1176,QM,E6,J,Navigation Specialist,Technical Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Verify navigational charts,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform nautical chart procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-100,1177,QM,E7,M,Navigation Manager,Equipment Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Manage equipment certifications and recertifications,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Equipment Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 15,3,220:01:00,220,Add to current Master Course
OC-101,1178,QM,E7,M,Navigation Manager,Equipment Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Verify equipment installation, testing, and alterations",Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Equipment Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 15,3,220:01:00,660,Add to current Master Course
PM-001,1007,QM,E4,A,Dcpo,Maintenance,1501/001,N/A,Maintenance Index Page (MIP),Maintain superstructure and fittings,All Sailor Task (Ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-002,1008,QM,E5,J,Dcpo,Maintenance,1501/002,N/A,Maintenance Index Page (MIP),Troubleshoot superstructure and fittings,All Sailor Task (Ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ31-063,1005,QM,E5,J,Navigation Specialist,Navigation,NAVEDTRA 43492 (330 - Navigation Evaluator),7/1/2020,300 Series PQS Watch Station,Verify gyro error by terrestrial range with conning officer ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute gyro compass er; Apply Navigation Principles,Knowledge/Performance Test,"Task also taught in QM J, CIN A-061-0300",Course Revision,Navigation - Maritime,Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ31-064,1006,QM,E5,J,Navigation Specialist,Navigation,NAVEDTRA 43492 (330 - Navigation Evaluator),7/1/2020,300 Series PQS Watch Station,Verify VMS features/profile prior to entering restricted waters IAW NAVBILL (ECDIS only) ,Rating Specific Task,No,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Verify VMS features/profile prior to entering restricted waters IAW NAVBILL (ECDIS only) ,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
