Part1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PQ26-082,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Use ACP 130(a) to encode/decode 10 special task organization call signs ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform tactical signal encoding procedures; perform tactical signal decoding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-083,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Use ACP 130(a) to encode/decode 10-unit indicator call signs ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Use ACP 130(a) to encode/decode 10-unit indicator call signs ,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-084,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Use ACP 130(a) to encode/decode 5 boat call signs,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform tactical signal encoding procedures; perform tactical signal decoding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-085,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Use ACP 131(e) to encode/decode 10 signals ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform tactical signal encoding procedures; perform tactical signal decoding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-086,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Use ATP 1(h) vol. 2 to encode/decode 10 signals ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform tactical signal encoding procedures; perform tactical signal decoding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-087,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,"Use ATP 2, vol. 2 to encode/decode 10 signals",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform tactical signal encoding procedures; perform tactical signal decoding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-088,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Use pub. 102 to encode/decode 10 signals ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform tactical signal encoding procedures; perform tactical signal decoding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-089,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,Conduct visual inspection of an/sat-2(a)/yard arm blinker and associated electrical/mechanical components,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Lookout and Signal Operations,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ26-090,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,Conduct visual inspection of multi-purpose light (MPL) and associated electrical/mechanical components,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Lookout and Signal Operations,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ26-091,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,Conduct visual inspection of search light and associated electrical/mechanical components,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Lookout and Signal Operations,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ26-092,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,De-energize and properly stow searchlight ,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Lookout and Signal Operations,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ26-093,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,"Energize/de-energize MPL using the following: ship’s power, battery power",Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Lookout and Signal Operations,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ26-094,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,Energize/de-energize searchlight,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Lookout and Signal Operations,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ26-095,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,Receive a 10-group flashing light message transmitted by infrared an/sat with night vision goggles IAW proper procedures from ACP 130(a),Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Receive messages by flashing light,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-096,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,Receive a 10-group flashing light message transmitted by yardarm blinkers IAW proper procedures from ACP 130(a),Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Receive messages by flashing light,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-097,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,Receive a 20-group flashing light message using the MPL,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Receive messages by flashing light,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-098,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,"Transmit a 10-group flashing light message using the yardarm blinkers with the receiver answering with a MPL, using proper procedures from ACP 130(a)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Transmit messages by flashing light,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-099,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,"Transmit a 10-group infrared flashing light message using an/sat with the receiver answering with a MPL (red filter), IAW proper procedures from ACP 130(a) ",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Transmit messages by flashing light,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-100,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,Transmit a 20-group flashing light message using the MPL,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Transmit messages by flashing light,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-101,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (316 - Search Light Operator),7/1/2020,300 Series PQS Watch Station,Use a signal light as a searchlight ,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Lookout and Signal Operations,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ27-001,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (317 - Signal Bridge Spotter),7/1/2020,300 Series PQS Watch Station,Confirm visual responsibilities to other ships in company ,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Lookout and Signal Operations,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ27-002,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (317 - Signal Bridge Spotter),7/1/2020,300 Series PQS Watch Station,Demonstrate allied and international interrogative procedures ,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Lookout and Signal Operations,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ27-003,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (317 - Signal Bridge Spotter),7/1/2020,300 Series PQS Watch Station,Demonstrate the following flag hoist signaling during an underway replenishment: hoist correct signal for preparing to come along side; hoist correct signal for making approach to replenish ship; hoist correct day shape for UNREP; hoist correct signal for 15 min standby and disengaging from final station; sound emergency breakaway signal; identify nighttime signal for preparing to come along side replenishing ship; & identify nighttime signal for making approach to replenishing ship,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform flag hoist procedures,Knowledge/Performance Test,Time Gap,Course Revision,Lookout and Signal Operations,Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ27-004,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (317 - Signal Bridge Spotter),7/1/2020,300 Series PQS Watch Station,Differentiate between allied and international signals ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Differentiate between allied and international signals ,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ27-005,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (317 - Signal Bridge Spotter),7/1/2020,300 Series PQS Watch Station,"Properly spot, break, and relay 5 signals from ATP-1 vol. 2 & pub 102",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Transmit messages by flashing light; receive messages by flashing light; determine signal flags/flag signals; perform tactical signal decoding procedures; perform tactical signal encoding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ27-006,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (317 - Signal Bridge Spotter),7/1/2020,300 Series PQS Watch Station,Spot incoming/outgoing flag hoist signal,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform flag hoist procedures,Knowledge/Performance Test,Time Gap,Course Revision,Lookout and Signal Operations,Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ27-007,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (317 - Signal Bridge Spotter),7/1/2020,300 Series PQS Watch Station,"Use the following flag bag terminology: signal in the air, end of hoist, end of signal, phonetic alphabet, taking to the dip, close up, & haul down",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine signal flags/flag signals (QuarterM A School); perform flag hoist procedures (QuarterM J),Knowledge/Performance Test,"Task also taught in QM J, CIN A-061-0300",Course Revision,Lookout and Signal Operations,Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ27-008,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (317 - Signal Bridge Spotter),7/1/2020,300 Series PQS Watch Station,Verify own ship repeats flag hoist flag for flag correctly the first-time prior to going close up ,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform flag hoist procedures,Knowledge/Performance Test,Time Gap,Course Revision,Lookout and Signal Operations,Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ28-001,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (318 - Inport Duty QuarterM),7/1/2020,300 Series PQS Watch Station,"Correctly display the following signal flag and pennant signals: absentee pennants; personnel aloft; divers; refueling & working over side, etc.",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine signal flags/flag signals,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ28-002,QM,E4,A,Navigation Specialist,Technical Administration,NAVEDTRA 43492 (318 - Inport Duty QuarterM),7/1/2020,300 Series PQS Watch Station,Energize/de-energize the appropriate navigation lights during sunrise/sunset,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Configure navigation task/running lights,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
